U,WallDistance,nut
0.071762,0.035099,0.000947
0.069075,0.055057,0.001321
0.066984,0.078532,0.001663
0.068753,0.095462,0.001977
0.075617,0.100417,0.002282
0.084069,0.100271,0.002588
0.091935,0.100065,0.002776
0.114741,0.100235,0.002614
0.162358,0.100388,0.002157
0.217861,0.095191,0.001684
0.272802,0.078793,0.001286
0.325502,0.056697,0.000947
0.373461,0.038118,0.000657
0.431437,0.022756,0.000349
0.083837,0.009141,0.000225
0.000000,0.000000,0.000000
0.086054,0.020675,0.000599
0.082109,0.035157,0.001065
0.074749,0.055012,0.001542
0.065930,0.081692,0.001996
0.059604,0.112018,0.002412
0.061890,0.131783,0.002787
0.074608,0.136346,0.003107
0.097213,0.136185,0.003229
0.137136,0.136310,0.002961
0.189787,0.131498,0.002437
0.239143,0.111278,0.001930
0.280232,0.080847,0.001504
0.312393,0.054369,0.001131
0.333625,0.034660,0.000792
0.351835,0.018097,0.000430
0.096098,0.009368,0.000235
0.000000,0.000000,0.000000
0.097508,0.021015,0.000633
0.091224,0.035311,0.001156
0.080383,0.055053,0.001724
0.066084,0.081652,0.002283
0.051681,0.117239,0.002796
0.048798,0.155849,0.003227
0.068866,0.177430,0.003529
0.107300,0.180739,0.003557
0.159424,0.177170,0.003200
0.213538,0.155147,0.002641
0.256897,0.116424,0.002108
0.287359,0.081023,0.001635
0.305917,0.054593,0.001203
0.312453,0.034982,0.000815
0.306268,0.020746,0.000467
0.328602,0.008833,0.000197
0.276766,0.009244,0.000174
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.104253,0.009709,0.000245
0.000000,0.000000,0.000000
0.105264,0.021541,0.000660
0.097709,0.035592,0.001224
0.084669,0.055192,0.001860
0.066543,0.081697,0.002500
0.045280,0.117215,0.003082
0.037471,0.164657,0.003546
0.068000,0.213243,0.003810
0.120367,0.234498,0.003743
0.180497,0.212614,0.003317
0.234002,0.163888,0.002737
0.272017,0.116592,0.002168
0.295028,0.081226,0.001631
0.305173,0.054861,0.001148
0.303808,0.035375,0.000750
0.290756,0.021393,0.000422
0.255874,0.009645,0.000154
0.000000,0.000000,0.000000
0.107332,0.010185,0.000255
0.000000,0.000000,0.000000
0.108161,0.022291,0.000683
0.100261,0.036026,0.001272
0.086205,0.055443,0.001950
0.065891,0.081831,0.002633
0.039847,0.117269,0.003246
0.029492,0.164653,0.003712
0.072057,0.227900,0.003933
0.134904,0.263686,0.003797
0.200065,0.227206,0.003331
0.252353,0.164048,0.002735
0.286352,0.116780,0.002134
0.304749,0.081465,0.001558
0.310273,0.055193,0.001071
0.304862,0.035873,0.000698
0.288563,0.022207,0.000393
0.250549,0.010154,0.000142
0.000000,0.000000,0.000000
0.105567,0.010599,0.000265
0.000000,0.000000,0.000000
0.106162,0.022944,0.000702
0.098289,0.036415,0.001302
0.083943,0.055674,0.001997
0.062610,0.081963,0.002695
0.033888,0.117334,0.003307
0.027150,0.164671,0.003751
0.080520,0.227888,0.003932
0.150436,0.263732,0.003757
0.218643,0.227324,0.003276
0.269979,0.164177,0.002677
0.301526,0.116934,0.002062
0.317366,0.081666,0.001485
0.320562,0.055473,0.001017
