U:0,U:1,U:2,WallDistance,nut,U
0.760551,-0.142081,-0.000242,0.010581,0.000641,0.773709
0.763019,-0.142497,-0.000102,0.010602,0.000646,0.776211
0.361195,0.019660,0.000594,0.011226,0.000260,0.361730
0.970843,-0.114253,-0.000204,0.003990,0.002224,0.977543
0.970605,-0.113879,-0.000297,0.003968,0.002227,0.977263
0.996344,-0.005992,-0.000590,0.000132,0.005952,0.996362
1.000000,0.000000,0.000000,0.000000,0.006213,1.000000
0.765572,-0.143265,-0.000423,0.010564,0.000652,0.778862
0.914673,-0.098960,-0.000507,0.010229,0.001560,0.920011
0.995791,-0.012949,0.000002,0.002695,0.000756,0.995875
0.995762,-0.012932,-0.000004,0.002702,0.000759,0.995846
0.999852,-0.000992,0.000046,0.000130,0.005811,0.999852
1.000000,0.000000,0.000000,0.000000,0.006213,1.000000
0.995707,-0.012944,-0.000006,0.002697,0.000753,0.995791
0.983418,-0.012753,0.000034,0.004237,0.000627,0.983501
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000418,0.041863,0.000640,0.008711,0.000036,0.041870
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000559,0.043209,0.000462,0.008738,0.000037,0.043215
0.001436,0.060632,0.000139,0.019942,0.000116,0.060649
0.001810,0.062526,-0.000115,0.019986,0.000117,0.062553
0.003420,0.071306,-0.000343,0.034558,0.000208,0.071389
0.004136,0.073475,-0.000619,0.034593,0.000208,0.073594
0.006668,0.078913,-0.000820,0.054369,0.000301,0.079198
0.007799,0.081223,-0.001134,0.054398,0.000303,0.081605
0.011591,0.084183,-0.001207,0.080912,0.000404,0.084986
0.013192,0.086617,-0.001554,0.080935,0.000406,0.087630
0.018573,0.086886,-0.001386,0.116370,0.000516,0.088859
0.020643,0.089531,-0.001746,0.116386,0.000518,0.091897
0.027962,0.086706,-0.001317,0.163688,0.000633,0.091112
0.030448,0.089712,-0.001689,0.163697,0.000634,0.094753
0.042570,0.087058,-0.001395,0.226811,0.000745,0.096919
0.039828,0.083557,-0.001011,0.226809,0.000746,0.092569
0.055399,0.082620,-0.000927,0.304115,0.000832,0.099479
0.052675,0.078594,-0.000535,0.301295,0.000836,0.094615
0.066142,0.078526,-0.000491,0.370561,0.000884,0.102671
0.063675,0.074098,-0.000097,0.346918,0.000890,0.097699
0.073743,0.075732,-0.000194,0.395890,0.000912,0.105704
0.071577,0.071056,0.000201,0.354126,0.000921,0.100857
0.078896,0.073907,0.000002,0.395997,0.000928,0.108106
0.076976,0.069073,0.000398,0.354117,0.000939,0.103424
0.082448,0.072703,0.000133,0.395992,0.000938,0.109924
0.080717,0.067763,0.000529,0.354110,0.000950,0.105391
0.084966,0.071893,0.000222,0.396001,0.000945,0.111301
0.083377,0.066878,0.000618,0.354117,0.000957,0.106887
0.086779,0.071335,0.000284,0.396018,0.000949,0.112336
0.085292,0.066264,0.000680,0.354132,0.000963,0.108010
0.088098,0.070939,0.000330,0.396041,0.000952,0.113109
0.089061,0.070645,0.000366,0.396068,0.000954,0.113678
0.089938,0.070360,0.000401,0.396102,0.000956,0.114191
0.090997,0.070018,0.000447,0.396136,0.000958,0.114819
0.092286,0.069636,0.000503,0.396169,0.000960,0.115612
0.093788,0.069228,0.000570,0.396202,0.000962,0.116572
0.095502,0.068791,0.000649,0.396235,0.000961,0.117700
0.097450,0.068304,0.000741,0.396266,0.000958,0.119006
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000237,0.041159,0.000850,0.008690,0.000036,0.041168
0.000991,0.059444,0.000410,0.019909,0.000116,0.059453
0.002589,0.069794,-0.000058,0.034533,0.000207,0.069842
0.005372,0.077150,-0.000498,0.054348,0.000300,0.077339
0.009781,0.082149,-0.000850,0.080896,0.000403,0.082734
0.016283,0.084479,-0.001021,0.116357,0.000516,0.086040
0.025296,0.083789,-0.000949,0.163680,0.000634,0.087530
0.036979,0.080011,-0.000626,0.226806,0.000747,0.088145
0.049933,0.074424,-0.000136,0.289416,0.000838,0.089623
0.061264,0.069481,0.000311,0.316017,0.000892,0.092634
0.069508,0.066193,0.000613,0.316084,0.000922,0.095986
0.075172,0.064075,0.000812,0.316072,0.000939,0.098778
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.000017,0.041153,0.001048,0.008674,0.000036,0.041167
0.000426,0.058974,0.000674,0.019883,0.000116,0.058979
0.001587,0.068985,0.000232,0.034515,0.000208,0.069003
0.003853,0.075972,-0.000182,0.054334,0.000300,0.076070
0.007714,0.080531,-0.000513,0.080884,0.000402,0.080901
0.013732,0.082299,-0.000669,0.116349,0.000517,0.083439
0.022418,0.080927,-0.000584,0.163675,0.000636,0.083976
0.034007,0.076384,-0.000239,0.226806,0.000747,0.083612
0.047171,0.070077,0.000273,0.272131,0.000833,0.084474
0.058914,0.064643,0.000730,0.281454,0.000881,0.087465
0.067554,0.061113,0.001038,0.281527,0.000904,0.091101
0.073509,0.058887,0.001239,0.281512,0.000916,0.094196
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.000348,0.041975,0.001199,0.008662,0.000035,0.041994
-0.000300,0.059303,0.000915,0.019864,0.000116,0.059310
0.000339,0.068904,0.000508,0.034503,0.000208,0.068907
0.002021,0.075383,0.000116,0.054325,0.000299,0.075410
0.005310,0.079307,-0.000193,0.080878,0.000403,0.079484
0.010871,0.080306,-0.000329,0.116345,0.000520,0.081039
0.019309,0.078079,-0.000223,0.163674,0.000637,0.080432
0.030915,0.072644,0.000150,0.219831,0.000740,0.078949
0.044400,0.065529,0.000687,0.249455,0.000810,0.079157
0.056649,0.059570,0.001158,0.250060,0.000839,0.082213
0.065742,0.055812,0.001471,0.250141,0.000844,0.086251
0.072022,0.053505,0.001676,0.250121,0.000840,0.089737
-0.030584,0.208970,0.001530,0.003936,0.000056,0.211202
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.032995,0.259532,0.002324,0.003968,0.000063,0.261631
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.056926,0.160708,0.000925,0.011728,0.000170,0.170495
-0.021542,0.308229,0.003285,0.001968,0.000059,0.308998
-0.002065,0.012266,-0.000079,0.000081,0.000002,0.012439
0.056200,0.161432,0.000714,0.011674,0.000169,0.170936
0.355157,0.023436,0.000525,0.011206,0.000259,0.355930
0.125309,0.161664,0.001956,0.004729,0.000115,0.204552
0.399314,-0.048651,0.000632,0.006160,0.000242,0.402267
0.493057,0.000000,0.000000,0.000000,0.003063,0.493057
0.680624,-0.015452,0.000050,0.001951,0.001508,0.680799
0.804337,-0.131567,-0.000185,0.004641,0.001371,0.815026
0.983116,0.008114,-0.000070,0.001346,0.000217,0.983149
