U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.0362685,0.145822,0.0741055,0.00159797,0.479835,0.554881,1.68791,1.6256,143,0,1
0.0392306,0.150343,0.0817623,0.00143845,0.477094,0.574387,1.68784,1.6256,144,0,1
0.0417858,0.151932,0.0854629,0.00130741,0.475776,0.589026,1.68771,1.6256,145,0,1
0.0438466,0.151314,0.0863439,0.00121027,0.474988,0.600028,1.68749,1.6256,146,0,1
0.0457629,0.148741,0.0851087,0.00112938,0.474437,0.608312,1.68721,1.6256,147,0,1
0.0479249,0.14259,0.0804185,0.0010523,0.474018,0.621942,1.68687,1.6256,148,0,1
0.0499188,0.131102,0.0702428,0.000994523,0.47366,0.638162,1.6865,1.6256,149,0,1
0.051075,0.114243,0.0538854,0.000968096,0.473312,0.657448,1.68614,1.6256,150,0,1
0.0511138,0.0934093,0.0317779,0.000969322,0.472997,0.680367,1.68582,1.6256,151,0,1
0.0499765,0.0713562,0.00638513,0.000985603,0.472726,0.707596,1.68554,1.6256,152,0,1
0.0471827,0.0512414,-0.0172465,0.00100207,0.472504,0.739947,1.68531,1.6256,153,0,1
0.0415522,0.0350149,-0.0338034,0.0010137,0.472331,0.778388,1.68513,1.6256,154,0,1
0.0322771,0.0230172,-0.0408778,0.00102991,0.472202,0.824075,1.68499,1.6256,155,0,1
0.0202892,0.0149612,-0.039485,0.00106451,0.472112,0.878381,1.68489,1.6256,156,0,1
0.00068873,0.196489,-0.114809,0.000184183,0.0135502,0.00721022,1.82091,1.6256,157,0,1
0,0,0,0,2.22045e-16,2.56661e-10,1.8401,1.6256,158,0,1
0.000948428,0.21735,-0.126508,0.000463798,0.0279279,0.0182355,1.82091,1.6256,159,0,1
0.00114651,0.224028,-0.130021,0.000812294,0.0397029,0.0329185,1.82092,1.6256,160,0,1
0.00135251,0.222452,-0.128998,0.00121842,0.0577491,0.0524798,1.82094,1.6256,161,0,1
0.00111182,0.21437,-0.124439,0.00165198,0.083188,0.0785517,1.82097,1.6256,162,0,1
0.00100425,0.200162,-0.116397,0.0020372,0.117919,0.11331,1.82101,1.6256,163,0,1
0.00146739,0.179891,-0.104183,0.00227325,0.164731,0.159656,1.82106,1.6256,164,0,1
0.00396584,0.154103,-0.0857987,0.00228284,0.227474,0.221455,1.82114,1.6256,165,0,1
0.0107452,0.127483,-0.0582662,0.00212627,0.30449,0.303861,1.82124,1.6256,166,0,1
0.0201675,0.111123,-0.0242694,0.00201041,0.381577,0.386238,1.82137,1.6256,167,0,1
0.0275471,0.110039,0.00652535,0.00198478,0.444539,0.447981,1.82148,1.6256,168,0,1
0.0325613,0.11717,0.029082,0.00193725,0.491751,0.494269,1.82157,1.6256,169,0,1
0.0366499,0.125383,0.0447255,0.00184034,0.527151,0.528971,1.82161,1.6256,170,0,1
0.0401547,0.131992,0.0551234,0.00172218,0.546973,0.554988,1.8216,1.6256,171,0,1
0.0431801,0.136347,0.0615526,0.0016086,0.555525,0.574502,1.82154,1.6256,172,0,1
0.0457285,0.138666,0.065107,0.00151327,0.562418,0.589146,1.82142,1.6256,173,0,1
0.0477855,0.139491,0.0667318,0.00143949,0.567684,0.600147,1.82123,1.6256,174,0,1
0.0497682,0.139264,0.0671757,0.00137374,0.572585,0.608425,1.821,1.6256,175,0,1
0.0522677,0.137359,0.0659828,0.00130331,0.578859,0.62204,1.82072,1.6256,176,0,1
0.0552482,0.132488,0.06178,0.0012381,0.586854,0.638241,1.82042,1.6256,177,0,1
0.0583082,0.123806,0.0535314,0.00119183,0.596395,0.657507,1.82012,1.6256,178,0,1
0.0610829,0.111113,0.0407672,0.00116918,0.604968,0.680406,1.81985,1.6256,179,0,1
0.0631819,0.0951447,0.0240379,0.00116712,0.608242,0.707619,1.8196,1.6256,180,0,1
0.0639758,0.0774639,0.00542366,0.00117621,0.608042,0.739958,1.8194,1.6256,181,0,1
0.0624576,0.0600291,-0.011673,0.00118667,0.607882,0.778392,1.81923,1.6256,182,0,1
0.057553,0.044427,-0.0241265,0.00119696,0.607758,0.824074,1.8191,1.6256,183,0,1
0.0489534,0.0315311,-0.0304839,0.00121624,0.607669,0.878378,1.819,1.6256,184,0,1
0.112171,0.0670083,0.0184168,0.00179573,0.813577,0.878405,2.43899,1.6256,185,0,1
0.0984055,0.0655427,0.00657244,0.00158627,0.81299,0.87839,2.18794,1.6256,186,0,1
0.106292,0.0744044,0.0223522,0.00183542,0.802213,0.824117,2.43906,1.6256,187,0,1
0.0960597,0.0774497,0.013915,0.00160053,0.802176,0.824095,2.18802,1.6256,188,0,1
0.112597,0.0658262,0.0250198,0.00203938,0.80222,0.824142,2.56201,1.6256,189,0,1
