U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.0587368,0.0131107,0.0247951,0.000579094,0.189728,0.3869,-1.02302,0.8128,234,0,1
-0.0370617,0.0105228,-0.0672683,0.000612411,0.158798,0.448889,-1.02299,0.8128,235,0,1
-0.0299528,0.0114903,-0.126786,0.000599616,0.117528,0.495447,-1.02293,0.8128,236,0,1
-0.0221574,0.0123664,-0.170579,0.000566029,0.0820278,0.530451,-1.02284,0.8128,237,0,1
-0.0165008,0.0118555,-0.204075,0.000495058,0.0555264,0.556742,-1.02276,0.8128,238,0,1
-0.0120911,0.00992033,-0.228305,0.00038165,0.0359511,0.576485,-1.02268,0.8128,239,0,1
-0.00840226,0.00697427,-0.241513,0.000240166,0.0219842,0.591294,-1.02256,0.8128,240,0,1
-0.00431116,0.00337678,-0.230583,9.85636e-05,0.00993461,0.602383,-1.02241,0.8128,241,0,1
0,0,0,0,2.22045e-16,0.6096,-1.01393,0.8128,242,0,1
-0.00706048,0.0161482,0.306639,0.000286992,0.0104414,0.00718571,-0.950796,0.8128,243,0,1
0,0,0,0,2.22045e-16,-1.49405e-16,-0.940421,0.8128,244,0,1
-0.0138755,0.0282551,0.326051,0.000611327,0.0227406,0.0181859,-0.950931,0.8128,245,0,1
-0.0263283,0.0383583,0.331661,0.000917864,0.036235,0.0328604,-0.95105,0.8128,246,0,1
-0.0397902,0.0450039,0.327873,0.00113607,0.0554524,0.052437,-0.951147,0.8128,247,0,1
-0.0552397,0.0489382,0.317325,0.00121919,0.0816658,0.0785504,-0.951231,0.8128,248,0,1
-0.0704738,0.0493119,0.298401,0.00115383,0.116941,0.113379,-0.951311,0.8128,249,0,1
-0.0836752,0.0455233,0.266649,0.000974954,0.164171,0.15983,-0.951393,0.8128,250,0,1
-0.0900786,0.0375604,0.21461,0.000770624,0.21947,0.221769,-0.951437,0.8128,251,0,1
-0.0834578,0.0257025,0.130545,0.000669705,0.247952,0.304362,-0.951449,0.8128,252,0,1
-0.057168,0.0157387,0.022077,0.00070725,0.220082,0.38698,-0.951431,0.8128,253,0,1
-0.035784,0.013377,-0.06966,0.000744939,0.164935,0.448996,-0.951382,0.8128,254,0,1
-0.0291415,0.0151689,-0.129291,0.000717806,0.117586,0.495584,-0.951295,0.8128,255,0,1
-0.0222801,0.0168842,-0.172643,0.000659105,0.0821681,0.530558,-0.95121,0.8128,256,0,1
-0.0172094,0.017372,-0.20548,0.000559416,0.0558078,0.556818,-0.951123,0.8128,257,0,1
-0.0129629,0.0162959,-0.228742,0.000419224,0.0364536,0.576529,-0.951026,0.8128,258,0,1
-0.0089884,0.0136885,-0.240478,0.000259084,0.0228463,0.591313,-0.950912,0.8128,259,0,1
-0.00466457,0.00957231,-0.229143,0.000106296,0.0104771,0.602387,-0.950785,0.8128,260,0,1
0,0,0,0,2.22045e-16,0.6096,-0.940415,0.8128,261,0,1
-0.00605939,0.0420764,0.304337,0.000300723,0.011215,0.00718738,-0.862633,0.8128,262,0,1
0,0,0,0,2.22045e-16,-1.39362e-16,-0.849896,0.8128,263,0,1
-0.0120465,0.0543537,0.322862,0.000646356,0.0240049,0.0181909,-0.862726,0.8128,264,0,1
-0.0236388,0.0634305,0.328054,0.000989424,0.0370454,0.032868,-0.862823,0.8128,265,0,1
-0.0366493,0.0671216,0.323948,0.00125187,0.0559884,0.052446,-0.862913,0.8128,266,0,1
-0.0520778,0.0672686,0.312921,0.00137505,0.0820347,0.0785604,-0.862995,0.8128,267,0,1
-0.0674798,0.063905,0.29354,0.0013292,0.117206,0.113392,-0.86307,0.8128,268,0,1
-0.080763,0.0567783,0.261657,0.00114096,0.164372,0.159847,-0.863141,0.8128,269,0,1
-0.0871792,0.0457084,0.209938,0.000911115,0.227438,0.221804,-0.863201,0.8128,270,0,1
-0.0803649,0.0308783,0.126368,0.000797364,0.263883,0.304418,-0.863218,0.8128,271,0,1
-0.0548812,0.0194164,0.0186605,0.000840944,0.228164,0.387061,-0.863195,0.8128,272,0,1
-0.0346122,0.0176855,-0.072725,0.000879585,0.165022,0.449105,-0.86313,0.8128,273,0,1
-0.0286449,0.0207159,-0.132389,0.000835513,0.117747,0.495675,-0.863055,0.8128,274,0,1
-0.022627,0.0233872,-0.175182,0.000749334,0.0824532,0.530629,-0.862978,0.8128,275,0,1
