U:0,U:1,U:2,grad(T):0,grad(T):1,grad(T):2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,Point ID,Block Number
-0.0330257,1.43088e-05,-0.00180288,-5.2857,-111.748,1.26255,0,-1,0,4.62672e-05,0.0126377,0.740248,1.23015,1.2192,151,1
0,0,0,-14.6582,-402.955,-3.02953,0,-1,0,0,2.22045e-16,0.744052,1.2192,1.2192,152,1
-0.0337205,0.000670539,-0.00128547,-7.73036,-112.986,1.34108,0,-1,0,4.84216e-05,0.0126971,0.778641,1.23014,1.2192,153,1
0,0,0,-20.6701,-415.334,-3.06626,0,-1,0,0,2.22045e-16,0.78314,1.2192,1.2192,154,1
-0.0361236,0.000981086,-0.000740056,-10.3251,-113.812,1.41199,0,-1,0,5.06271e-05,0.0127939,0.824273,1.23014,1.2192,155,1
0,0,0,-28.2159,-437.435,-3.12852,0,-1,0,0,2.22045e-16,0.829608,1.2192,1.2192,156,1
0.0179027,0.0928227,0.00144712,63.0917,-43.6853,0.533149,0,-1,0,0.000193311,0.0296733,0.621171,1.2474,1.2192,157,1
-0.0179979,0.0261559,-0.00079745,25.8833,-56.2632,1.90424,0,-1,0,0.000118422,0.028863,0.637817,1.24655,1.2192,158,1
-0.0401314,-0.00133722,-0.00260696,3.89299,-51.7318,1.94922,0,-1,0,8.23884e-05,0.0284226,0.657405,1.2461,1.2192,159,1
-0.043042,-0.00309443,-0.00288284,1.47891,-54.1,1.77964,0,-1,0,8.82648e-05,0.0282356,0.680501,1.24587,1.2192,160,1
-0.0428068,-0.00120257,-0.00247195,1.40811,-57.6269,1.99367,0,-1,0,0.000110614,0.0281757,0.707809,1.24576,1.2192,161,1
-0.0429893,0.000546834,-0.00191915,1.22504,-59.4661,2.10382,0,-1,0,0.000126477,0.0281918,0.740172,1.2457,1.2192,162,1
-0.0443923,0.0016838,-0.00131084,1.47889,-60.2516,2.19182,0,-1,0,0.000135122,0.028269,0.778591,1.24567,1.2192,163,1
-0.0472158,0.00227504,-0.000666503,2.47883,-60.5743,2.28892,0,-1,0,0.000141402,0.0284089,0.824241,1.24565,1.2192,164,1
0.0419811,0.120934,0.00183868,50.5846,-30.7245,0.0584793,0,-1,0,0.000269768,0.0486921,0.621323,1.26648,1.2192,165,1
0.00897676,0.0619762,-0.000173219,26.4741,-33.4598,0.0117135,0,-1,0,0.000195545,0.0481007,0.637819,1.26585,1.2192,166,1
-0.0247732,0.0178873,-0.00206595,6.36623,-28.2122,0.0233051,0,-1,0,0.000144543,0.0476855,0.657332,1.26542,1.2192,167,1
-0.0399008,0.00146994,-0.00266718,-0.505298,-27.5443,0.0244901,0,-1,0,0.000132235,0.0474415,0.680403,1.26515,1.2192,168,1
-0.0441238,0.000210419,-0.00240392,-1.53319,-29.0995,0.0152198,0,-1,0,0.000162587,0.0473112,0.707714,1.26499,1.2192,169,1
-0.0460257,0.0018311,-0.00188114,-1.9692,-30.1728,0.00542761,0,-1,0,0.000200518,0.047257,0.740095,1.26489,1.2192,170,1
-0.048173,0.00325415,-0.00127391,-2.53452,-30.653,-0.00129777,0,-1,0,0.000224947,0.0472601,0.778534,1.26483,1.2192,171,1
-0.0512611,0.00403125,-0.000620109,-2.88303,-30.7637,-0.0011337,0,-1,0,0.000239484,0.0473139,0.824201,1.26479,1.2192,172,1
0.0594077,0.141271,0.0021312,39.8418,-21.136,0.160005,0,-1,0,0.000364125,0.0723185,0.621475,1.28996,1.2192,173,1
0.0358907,0.0974279,0.000715652,27.4342,-23.8214,0.0828089,0,-1,0,0.000287643,0.071872,0.637865,1.28949,1.2192,174,1
0.00278372,0.0505597,-0.00103667,11.1672,-19.8762,0.050455,0,-1,0,0.000232236,0.0715116,0.657308,1.28911,1.2192,175,1
-0.0251172,0.0175211,-0.00219356,1.08646,-16.3961,0.0442667,0,-1,0,0.000195146,0.0712601,0.680343,1.28884,1.2192,176,1
-0.0391325,0.00549095,-0.0023421,-1.99494,-15.89,0.0380602,0,-1,0,0.000205719,0.0710977,0.707644,1.28865,1.2192,177,1
-0.0445215,0.00447895,-0.0019302,-2.38825,-16.4971,0.0256068,0,-1,0,0.000258516,0.0710039,0.74003,1.28853,1.2192,178,1
-0.0478802,0.00553979,-0.00135342,-2.6279,-16.8223,0.0137547,0,-1,0,0.000311486,0.070964,0.778481,1.28845,1.2192,179,1
-0.0512996,0.00630431,-0.000717272,-2.78741,-16.7423,0.00810804,0,-1,0,0.000345393,0.07097,0.82416,1.2884,1.2192,180,1
0.0745674,0.154956,0.0021665,29.0125,-13.8183,0.251638,0,-1,0,0.000475582,0.101528,0.621609,1.31891,1.2192,181,1
0.0586407,0.125604,0.00128324,25.4437,-17.4135,0.176379,0,-1,0,0.000392228,0.101179,0.63793,1.31855,1.2192,182,1
